mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.36733555793762207,0.04395088707259061,0.0904569149017334,0.02036324111631524,20,5,50,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.12307692307692308,0.14705882352941177,0.11594202898550725,0.14285714285714285,0.03508771929824561,0.11280452754944612,0.04057532449606184,35,0.9720101781170484,0.9718670076726342,0.9872122762148338,0.9794871794871794,0.961439588688946,0.9744032460361284,0.00860387499177722
0.6825131416320801,0.03832951006461997,0.11936516761779785,0.005967453521914671,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.12121212121212122,0.11940298507462686,0.12307692307692308,0.12121212121212122,0.07142857142857142,0.11126654440087276,0.019952843396708757,36,0.9820971867007673,0.9898477157360406,0.9974424552429667,0.9923664122137404,0.9873417721518988,0.9898191084090827,0.005106275781870378
1.3884068489074708,0.03101059247524718,0.18825783729553222,0.023945655609475737,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.15151515151515152,0.09230769230769231,0.11940298507462686,0.17647058823529413,0.07017543859649122,0.12197437114585122,0.03850285354296179,32,0.9846938775510204,0.9898477157360406,1.0,0.9974424552429667,0.98989898989899,0.9923766076858035,0.005573816440529432
0.3801560878753662,0.025592198214663242,0.10018777847290039,0.015892052378593508,20,10,50,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.19047619047619047,0.1686746987951807,0.11904761904761904,0.2222222222222222,0.06060606060606061,0.1522053582294546,0.05679458427642398,26,0.905852417302799,0.8894472361809045,0.9285714285714286,0.8838383838383839,0.9191919191919192,0.9053802770170872,0.017010166597899938
0.6917134284973144,0.04164355852428736,0.12494606971740722,0.01174104727852433,20,10,100,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.18823529411764706,0.17073170731707318,0.1518987341772152,0.22784810126582278,0.06666666666666667,0.16107610070888498,0.05345412589611941,22,0.9195979899497487,0.9207920792079208,0.9316455696202531,0.9207920792079208,0.9168765743073047,0.9219408584586297,0.005058790627798787
1.3344136714935302,0.049111920496229027,0.18289332389831542,0.02931881738097476,20,10,200,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 200}",0.14634146341463414,0.1643835616438356,0.12345679012345678,0.18421052631578946,0.0625,0.13617846829954322,0.04194341460617712,28,0.9269521410579346,0.9393939393939394,0.9276807980049875,0.942643391521197,0.9379652605459057,0.9349271061047929,0.006400517029809546
0.3718561172485352,0.027878661450680405,0.08433771133422852,0.014376486616119594,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.1016949152542373,0.13333333333333333,0.09836065573770492,0.12903225806451613,0.07692307692307693,0.10786884786257374,0.020892552989243363,40,0.9974293059125964,0.9922480620155039,0.9974293059125964,0.9948453608247423,0.9948717948717949,0.9953647659074468,0.0019365586021450152
0.7383442401885987,0.04453067625743164,0.11430249214172364,0.009417253000682368,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.1016949152542373,0.10344827586206896,0.06779661016949153,0.13559322033898305,0.07692307692307693,0.09709121970957155,0.023702060499557278,41,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4594223976135254,0.031211957853758868,0.18438501358032228,0.028848486727034793,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.07017543859649122,0.10344827586206896,0.06779661016949153,0.1,0.07692307692307693,0.08366868031022573,0.015082690413573237,44,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.36339244842529295,0.026514484367831832,0.08406214714050293,0.01722399729129494,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.14492753623188406,0.14084507042253522,0.11594202898550725,0.14492753623188406,0.034482758620689655,0.11622498609850004,0.04227456241808623,34,0.9796954314720813,0.9665809768637532,0.9872122762148338,0.9846938775510204,0.9642857142857143,0.9764936552774806,0.009377407611134975
0.7076343536376953,0.025914994803906626,0.13533396720886232,0.03149381454684724,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.12121212121212122,0.12121212121212122,0.11940298507462686,0.12121212121212122,0.07142857142857142,0.11089358402791238,0.019744942413213906,38,0.9795918367346939,0.9898477157360406,1.0,0.9898477157360406,0.9848484848484849,0.988827150611052,0.006753317310209536
1.371301031112671,0.06815870556505763,0.17596721649169922,0.02765724710922545,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.15151515151515152,0.09090909090909091,0.12121212121212122,0.1791044776119403,0.07142857142857142,0.12283388253537506,0.03912371020422165,31,0.9846938775510204,0.9923664122137404,1.0,0.9974424552429667,0.98989898989899,0.9928803469813434,0.00543457802645799
0.3598639965057373,0.030499151406697657,0.07861442565917968,0.006673866885618845,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.18823529411764706,0.17073170731707318,0.11904761904761904,0.2222222222222222,0.06153846153846154,0.15235506084860462,0.05632681937205441,25,0.9007633587786259,0.8922305764411027,0.9285714285714286,0.8771929824561403,0.9223057644110275,0.904212822131665,0.019006530526719776
